"fipstate","year","naics","emp","qp1","ap","est"
"01",1998,"113///",8207,44757,195720,1082
"01",1998,"114///",93,363,1532,30
"01",1998,"115///",1614,10181,45519,194
"01",1998,"211///",804,9477,38146,38
"01",1998,"212///",7074,79136,318295,159
"01",1998,"213///",988,8163,32187,81
"01",1998,"221///",15851,280349,922056,472
"01",1998,"233///",30226,198376,928823,3071
"01",1998,"234///",14674,81327,399911,759
"01",1998,"235///",56107,288931,1306373,6121
"01",1998,"311///",34715,168750,723988,301
"01",1998,"312///",2428,14369,61032,29
"01",1998,"313///",22364,131973,547735,108
"01",1998,"314///",8392,46203,191421,111
"01",1998,"315///",35762,132353,531048,346
"01",1998,"316///",291,1016,4668,17
"01",1998,"321///",26481,150119,672062,488
"01",1998,"322///",18671,218851,930173,93
"01",1998,"323///",7268,45805,195861,500
"01",1998,"324///",2591,25369,107654,47
"01",1998,"325///",14007,173408,682442,206
"01",1998,"326///",21353,163507,678711,217
"01",1998,"327///",9495,72402,303328,322
"01",1998,"331///",23109,217373,879225,140
"01",1998,"332///",30834,210895,893900,1018
"01",1998,"333///",17906,123193,529744,305
"01",1998,"334///",19683,137446,563253,138
"01",1998,"335///",7725,54728,228349,91
"01",1998,"336///",26973,269444,1102761,212
"01",1998,"337///",15018,79396,333654,450
"01",1998,"339///",7356,41501,180647,349
"01",1998,"421///",47927,389768,1669077,4422
"01",1998,"422///",31220,208401,871023,1912
"01",1998,"441///",29847,184396,802834,2785
"01",1998,"442///",8667,38631,166934,1269
"01",1998,"443///",4409,20887,93044,718
"01",1998,"444///",18057,90122,385467,1649
"01",1998,"445///",43672,133653,534950,2083
"01",1998,"446///",13213,54276,231022,1559
"01",1998,"447///",19816,55021,232841,2998
"01",1998,"448///",17980,52130,218288,2375
"01",1998,"451///",6856,22133,92899,948
"01",1998,"452///",48018,166002,630059,937
"01",1998,"453///",10646,34693,151280,2008
"01",1998,"454///",5304,26982,112321,610
"01",1998,"481///",0,0,0,45
"01",1998,"483///",503,4671,19518,19
"01",1998,"484///",29450,184359,793345,2321
"01",1998,"485///",1850,5351,22645,98
"01",1998,"486///",0,0,0,29
"01",1998,"487///",0,0,0,31
"01",1998,"488///",6359,47465,192218,384
"01",1998,"492///",5562,39733,160935,133
"01",1998,"493///",1599,8720,40116,112
"01",1998,"511///",9025,69314,289213,307
"01",1998,"512///",1487,4520,18812,166
"01",1998,"513///",22592,209432,839276,887
"01",1998,"514///",3770,27094,89068,149
"01",1998,"521///",0,0,0,1
"01",1998,"522///",39689,322944,1269754,2813
"01",1998,"523///",0,0,0,406
"01",1998,"524///",24967,253235,1024534,2507
"01",1998,"525///",0,0,0,6
"01",1998,"531///",13082,64409,276259,2581
"01",1998,"532///",8569,40952,177409,1110
"01",1998,"533///",57,624,7331,19
"01",1998,"541///",65195,574383,2519999,7983
"01",1998,"551///",21064,264720,980868,452
"01",1998,"561///",96701,345551,1615647,3743
"01",1998,"562///",3677,25312,90947,219
"01",1998,"611///",18831,75348,309287,704
"01",1998,"621///",64240,559621,2588307,5925
"01",1998,"622///",85599,579720,2428470,143
"01",1998,"623///",32708,124877,504571,649
"01",1998,"624///",18564,51822,216652,1760
"01",1998,"711///",2748,8904,37362,176
"01",1998,"712///",504,1769,7983,56
"01",1998,"713///",10215,27768,127197,809
"01",1998,"721///",15201,40238,178997,772
"01",1998,"722///",112053,231716,996674,6236
"01",1998,"811///",19342,103327,446894,3747
"01",1998,"812///",17080,59969,256237,2594
"01",1998,"813///",43638,122729,516508,5469
"02",1998,"113///",0,0,0,68
"02",1998,"114///",528,3736,18859,242
"02",1998,"115///",0,0,0,18
"02",1998,"211///",2462,85908,268718,21
"02",1998,"212///",1120,17843,78156,47
"02",1998,"213///",5148,84025,355788,62
"02",1998,"221///",1762,25717,109319,85
"02",1998,"233///",3949,31512,173852,716
"02",1998,"234///",2972,33584,198862,261
"02",1998,"235///",5994,50548,270214,1302
"02",1998,"311///",8989,52385,196968,154
"02",1998,"312///",0,0,0,9
"02",1998,"313///",0,0,0,1
"02",1998,"314///",0,0,0,15
"02",1998,"315///",0,0,0,10
"02",1998,"316///",0,0,0,3
"02",1998,"321///",0,0,0,30
"02",1998,"322///",0,0,0,2
"02",1998,"323///",458,3071,13359,53
"02",1998,"324///",537,11071,49696,13
"02",1998,"325///",0,0,0,7
"02",1998,"326///",55,569,4016,12
"02",1998,"327///",0,0,0,27
"02",1998,"331///",0,0,0,1
"02",1998,"332///",408,3117,15397,53
"02",1998,"333///",0,0,0,8
"02",1998,"334///",0,0,0,3
"02",1998,"335///",0,0,0,5
"02",1998,"336///",0,0,0,18
"02",1998,"337///",0,0,0,23
"02",1998,"339///",182,1110,5019,42
"02",1998,"421///",3380,33259,140395,412
"02",1998,"422///",3660,29717,135097,369
"02",1998,"441///",4256,32346,143135,289
"02",1998,"442///",764,4235,19131,110
"02",1998,"443///",578,3234,13274,84
"02",1998,"444///",2773,19204,87238,219
"02",1998,"445///",7348,37606,167880,421
"02",1998,"446///",782,4907,19921,113
"02",1998,"447///",1828,7208,32078,244
"02",1998,"448///",2036,8105,38523,322
"02",1998,"451///",1618,5469,25022,259
"02",1998,"452///",7243,29602,125980,137
"02",1998,"453///",1917,6636,34424,466
"02",1998,"454///",1043,7661,36486,143
"02",1998,"481///",6222,56600,250112,221
"02",1998,"483///",840,8943,41116,52
"02",1998,"484///",3579,32648,145126,221
"02",1998,"485///",1286,4013,17484,80
"02",1998,"486///",0,0,0,9
"02",1998,"487///",407,2198,20054,122
"02",1998,"488///",2277,17552,80270,192
"02",1998,"492///",0,0,0,68
"02",1998,"493///",0,0,0,8
"02",1998,"511///",0,0,0,68
"02",1998,"512///",194,626,2924,35
"02",1998,"513///",3740,45257,185593,212
"02",1998,"514///",0,0,0,48
"02",1998,"522///",4469,40921,156898,288
"02",1998,"523///",0,0,0,100
"02",1998,"524///",1903,20864,83714,290
"02",1998,"525///",0,0,0,6
"02",1998,"531///",0,0,0,520
"02",1998,"532///",0,0,0,221
"02",1998,"533///",0,0,0,1
"02",1998,"541///",9497,97818,446785,1562
"02",1998,"551///",1902,39381,153599,80
"02",1998,"561///",8951,54383,252001,893
"02",1998,"562///",930,9258,37674,98
"02",1998,"611///",2485,11147,45712,200
"02",1998,"621///",7855,68078,319067,1076
"02",1998,"622///",13121,138863,578673,28
"02",1998,"623///",1882,11013,43577,98
"02",1998,"624///",6061,27900,119761,407
"02",1998,"711///",282,1063,5789,63
"02",1998,"712///",121,620,3269,27
"02",1998,"713///",2512,6404,31832,342
"02",1998,"721///",4725,20567,106860,422
"02",1998,"722///",15361,49099,236607,1328
"02",1998,"811///",2572,16451,71064,539
"02",1998,"812///",1960,7537,32854,360
"02",1998,"813///",5459,25229,107647,850
"04",1998,"113///",0,0,0,28
"04",1998,"114///",0,0,0,2
"04",1998,"115///",1870,10147,39481,190
"04",1998,"211///",0,0,0,15
"04",1998,"212///",13426,134633,561272,149
"04",1998,"213///",0,0,0,47
"04",1998,"221///",10923,171311,634307,262
"04",1998,"233///",29231,234616,1034670,3652
"04",1998,"234///",14892,105949,508374,554
"04",1998,"235///",99250,565306,2648686,7770
"04",1998,"311///",8964,55404,225849,260
"04",1998,"312///",1680,10378,46770,37
"04",1998,"313///",583,2646,15644,25
"04",1998,"314///",1003,4624,21227,90
"04",1998,"315///",1620,6431,24807,91
"04",1998,"316///",183,818,3199,31
"04",1998,"321///",8419,65641,236806,201
"04",1998,"322///",3348,29299,121862,37
"04",1998,"323///",9319,60702,263074,683
"04",1998,"324///",365,3238,15755,24
"04",1998,"325///",6738,51739,218916,174
"04",1998,"326///",8530,56296,248686,236
"04",1998,"327///",7467,52609,225893,266
"04",1998,"331///",6895,63178,253903,76
"04",1998,"332///",21993,161668,689895,859
"04",1998,"333///",10164,82806,333028,316
"04",1998,"334///",47593,593041,2415267,363
"04",1998,"335///",4634,35222,146451,88
"04",1998,"336///",33056,396345,1589972,238
"04",1998,"337///",7989,40724,182965,371
"04",1998,"339///",9073,65064,285482,533
"04",1998,"421///",53023,497331,2098208,4595
"04",1998,"422///",31608,252486,1077252,2199
"04",1998,"441///",37179,279038,1206259,1873
"04",1998,"442///",9516,50666,220523,1187
"04",1998,"443///",6423,34361,146344,717
"04",1998,"444///",17827,101775,437611,1213
"04",1998,"445///",45853,210353,836965,1601
"04",1998,"446///",15469,62386,250451,1096
"04",1998,"447///",18204,61919,263145,1744
"04",1998,"448///",18673,60662,260946,2362
"04",1998,"451///",10575,33974,142795,1169
"04",1998,"452///",37209,131811,529432,406
"04",1998,"453///",16341,57703,242261,2414
"04",1998,"454///",7823,47513,197984,700
"04",1998,"481///",14947,135615,535155,89
"04",1998,"483///",0,0,0,2
"04",1998,"484///",22521,148270,679434,1261
"04",1998,"485///",4014,18804,81009,163
"04",1998,"486///",0,0,0,18
"04",1998,"487///",0,0,0,31
"04",1998,"488///",5916,44144,199383,500
"04",1998,"492///",8976,65749,270787,218
"04",1998,"493///",864,4980,18471,81
"04",1998,"511///",14159,138363,564970,611
"04",1998,"512///",3913,11806,50413,284
"04",1998,"513///",24942,246420,1033789,744
"04",1998,"514///",4181,39050,167132,236
"04",1998,"522///",51272,443019,1771021,2656
"04",1998,"523///",7441,120231,471167,913
"04",1998,"524///",33120,324240,1385934,3160
"04",1998,"525///",299,7267,19205,40
"04",1998,"531///",23910,155790,667918,4573
"04",1998,"532///",12203,67867,292535,1093
"04",1998,"533///",229,2097,9701,25
"04",1998,"541///",98547,787589,3636335,11306
"04",1998,"551///",40770,594208,2124913,809
"04",1998,"561///",175822,804389,3468844,6712
"04",1998,"562///",3006,22607,97720,228
"04",1998,"611///",20648,100988,429291,1152
"04",1998,"621///",69520,590941,2742506,7941
"04",1998,"622///",63946,460028,1910892,97
"04",1998,"623///",30567,134202,553266,984
"04",1998,"624///",26077,87051,366111,1697
"04",1998,"711///",5332,58888,281708,427
"04",1998,"712///",1452,6792,27904,89
"04",1998,"713///",24656,87718,370093,880
"04",1998,"721///",41803,156518,644689,1208
"04",1998,"722///",145959,351108,1446805,7911
"04",1998,"811///",25256,143043,614541,4123
"04",1998,"812///",20182,74422,315086,2700
"04",1998,"813///",28139,105657,456955,3105
"05",1998,"113///",3609,16382,74509,670
"05",1998,"114///",0,0,0,8
"05",1998,"115///",0,0,0,320
"05",1998,"211///",626,6576,22561,97
"05",1998,"212///",1221,9046,37879,77
"05",1998,"213///",1203,8671,29114,104
"05",1998,"221///",7783,87556,353521,352
"05",1998,"233///",10770,57844,275501,1660
"05",1998,"234///",8054,49669,226003,533
"05",1998,"235///",24651,124427,596360,3528
"05",1998,"311///",51155,245367,1032105,312
"05",1998,"312///",0,0,0,20
"05",1998,"313///",0,0,0,17
"05",1998,"314///",2189,14186,56859,63
"05",1998,"315///",7723,30900,128159,80
"05",1998,"316///",2603,10130,46739,26
"05",1998,"321///",15613,93441,388035,409
"05",1998,"322///",13057,128755,522523,79
"05",1998,"323///",4759,32470,139555,280
"05",1998,"324///",1044,10097,41739,29
"05",1998,"325///",7271,61177,265959,112
"05",1998,"326///",13907,96259,404619,176
"05",1998,"327///",5026,33751,142258,215
"05",1998,"331///",9347,81870,327958,55
"05",1998,"332///",23046,159895,694009,495
"05",1998,"333///",18381,116290,495895,258
"05",1998,"334///",4720,26805,109028,55
"05",1998,"335///",15043,93983,414040,76
"05",1998,"336///",15788,95228,405818,142
"05",1998,"337///",12224,63995,262818,219
"05",1998,"339///",7896,44498,194391,223
"05",1998,"421///",22522,158931,676822,2329
"05",1998,"422///",19948,131720,554425,1268
"05",1998,"441///",16590,96863,428796,1699
"05",1998,"442///",3626,16382,71415,649
"05",1998,"443///",2481,11167,47976,455
"05",1998,"444///",12269,62072,259868,1215
"05",1998,"445///",26512,67819,282890,1448
"05",1998,"446///",6427,26482,114548,820
"05",1998,"447///",13440,35418,153373,1754
"05",1998,"448///",9527,26506,108741,1355
"05",1998,"451///",3910,11716,48833,570
"05",1998,"452///",29799,105752,401522,599
"05",1998,"453///",6169,19374,91199,1463
"05",1998,"454///",3384,14625,62993,421
"05",1998,"481///",2099,12897,37288,49
"05",1998,"483///",179,958,4449,5
"05",1998,"484///",28328,196293,847309,1826
"05",1998,"485///",872,3145,13097,63
"05",1998,"486///",213,2810,10796,20
"05",1998,"487///",65,144,1049,12
"05",1998,"488///",2590,16856,75402,273
"05",1998,"492///",3462,38843,157074,89
"05",1998,"493///",1505,8233,34413,103
"05",1998,"511///",7080,36628,154899,209
"05",1998,"512///",1290,3314,14056,115
"05",1998,"513///",9402,87179,350476,521
"05",1998,"514///",2353,27409,121941,73
"05",1998,"521///",0,0,0,1
"05",1998,"522///",18991,124091,503265,1536
"05",1998,"523///",0,0,0,357
"05",1998,"524///",10403,79856,335641,1626
"05",1998,"525///",0,0,0,15
"05",1998,"531///",5500,24785,110021,1586
"05",1998,"532///",4319,18992,74819,675
"05",1998,"533///",47,229,1153,11
"05",1998,"541///",27689,203780,907143,4654
"05",1998,"551///",21784,259133,904761,420
"05",1998,"561///",49333,167639,762955,2030
"05",1998,"562///",2092,13030,56132,174
"05",1998,"611///",10004,34284,144846,463
"05",1998,"621///",36372,286941,1299662,3962
"05",1998,"622///",51115,312869,1333230,102
"05",1998,"623///",24722,85278,351660,507
"05",1998,"624///",17920,48322,202938,1288
"05",1998,"711///",1830,5991,20745,127
"05",1998,"712///",247,817,4231,55
"05",1998,"713///",5133,13229,66953,624
"05",1998,"721///",10340,24220,113385,702
"05",1998,"722///",63222,124524,543878,3907
"05",1998,"811///",9834,46005,195782,2183
"05",1998,"812///",9242,31560,136142,1375
"05",1998,"813///",20740,58031,247756,3205
"06",1998,"113///",3442,19809,142134,536
"06",1998,"114///",766,5600,28998,212
"06",1998,"115///",21945,117933,555101,1636
"06",1998,"211///",4820,73921,273421,237
"06",1998,"212///",7332,80235,356921,346
"06",1998,"213///",9689,95320,352139,342
"06",1998,"221///",51975,844716,2913287,874
"06",1998,"233///",150031,1250929,5806240,21104
"06",1998,"234///",68231,641146,3149119,3383
"06",1998,"235///",403460,2857837,13717846,39621
"06",1998,"311///",147733,974927,4367532,3667
"06",1998,"312///",29106,246448,1083018,639
"06",1998,"313///",13140,70733,318297,483
"06",1998,"314///",20299,110745,459982,924
"06",1998,"315///",132720,541610,2358169,5354
"06",1998,"316///",7116,33000,144500,242
"06",1998,"321///",39230,241876,1067779,1245
"06",1998,"322///",34358,301946,1292848,578
"06",1998,"323///",84116,661867,2833985,5312
"06",1998,"324///",12922,197384,784227,200
"06",1998,"325///",64795,738439,3015442,1588
"06",1998,"326///",90803,639783,2735506,2038
"06",1998,"327///",44417,347805,1597379,1552
"06",1998,"331///",25891,219742,895349,513
"06",1998,"332///",196761,1587263,6747529,8260
"06",1998,"333///",106612,1121790,4597292,3093
"06",1998,"334///",384077,5398306,23080804,4320
"06",1998,"335///",42064,387094,1592585,996
"06",1998,"336///",177424,2145348,8828407,1682
"06",1998,"337///",67868,390075,1718874,2751
"06",1998,"339///",105898,890617,3833956,4613
"06",1998,"421///",468205,5178061,21802811,35932
"06",1998,"422///",301412,2505291,10645532,22160
"06",1998,"441///",183467,1445750,6430878,11003
"06",1998,"442///",53602,283512,1249819,6702
"06",1998,"443///",47708,285272,1286452,5318
"06",1998,"444///",101208,620358,2726600,7136
"06",1998,"445///",273410,1317782,5484201,15481
"06",1998,"446///",99998,495503,2038316,8345
"06",1998,"447///",68614,225027,959146,8717
"06",1998,"448///",139652,531674,2241015,16504
"06",1998,"451///",75393,254115,1062501,7596
"06",1998,"452///",213541,781569,3281186,2397
"06",1998,"453///",87593,300580,1313550,13418
"06",1998,"454///",38274,239745,1030316,3637
"06",1998,"481///",73939,777038,3057948,584
"06",1998,"483///",7372,72833,301716,113
"06",1998,"484///",110422,735978,3356907,8295
"06",1998,"485///",29863,133182,576378,1215
"06",1998,"486///",9468,123800,464066,182
"06",1998,"487///",3328,11974,60601,277
"06",1998,"488///",60834,601253,2420970,4027
"06",1998,"492///",76155,494495,2022633,1333
"06",1998,"493///",14691,103583,451242,707
"06",1998,"511///",152304,2467476,10247727,4682
"06",1998,"512///",95454,1249857,5408201,6633
"06",1998,"513///",182062,2245764,8734383,4901
"06",1998,"514///",45104,540955,2488457,2157
"06",1998,"521///",0,0,0,2
"06",1998,"522///",297803,3364099,13469818,17925
"06",1998,"523///",74727,2331490,8629676,7786
"06",1998,"524///",221729,2590560,10320990,16189
"06",1998,"525///",0,0,0,200
"06",1998,"531///",172442,1236046,5261771,30477
"06",1998,"532///",81629,507306,2236868,6896
"06",1998,"533///",3554,51090,215414,254
"06",1998,"541///",923030,9430965,42291124,87214
"06",1998,"551///",277174,4788100,18171780,4477
"06",1998,"561///",956896,4689218,20323452,39770
"06",1998,"562///",35333,281947,1203756,1418
"06",1998,"611///",239446,1383915,5852711,8488
"06",1998,"621///",486284,4059401,18160191,59596
"06",1998,"622///",421533,3814431,15489671,567
"06",1998,"623///",193846,842203,3498536,7244
"06",1998,"624///",168230,656824,2814422,13155
"06",1998,"711///",55395,913821,4753644,8557
"06",1998,"712///",10372,58807,255615,460
"06",1998,"713///",164351,607694,2562030,5311
"06",1998,"721///",181607,793364,3318563,6270
"06",1998,"722///",870458,2248983,9815691,56412
"06",1998,"811///",161949,965141,4193344,26844
"06",1998,"812///",133046,531332,2296961,19679
"06",1998,"813///",222336,996270,4194047,21132
"08",1998,"113///",0,0,0,58
"08",1998,"114///",0,0,0,10
"08",1998,"115///",905,4810,22082,186
"08",1998,"211///",4199,66462,210743,342
